durations,speakers,titles,views,hashtags
 9:47,Louie Schwartzberg,Nature. Beauty. Gratitude.,3.7M,"Beautiful, Inspiring"
 6:21,Erik Johansson,Impossible photography,3.7M,"Fascinating, Inspiring"
16:52,Frans de Waal,Moral behavior in animals,3.7M,"Fascinating, Informative"
15:22,Kevin Slavin,How algorithms shape our world,3.7M,"Fascinating, Informative"
12:18,Emily Esfahani Smith,There's more to life than being happy,3.7M,"Inspiring, Beautiful"
14:53,David Epstein,"Are athletes really getting faster, better, stronger?",3.7M,"Informative, Fascinating"
15:59,Nadine Burke Harris,How childhood trauma affects health across a lifetime,3.7M,"Informative, Inspiring"
 9:31,Michael Pritchard,How to make filthy water drinkable,3.7M,"Ingenious, Inspiring"
12:32,Suki Kim,This is what it's like to go undercover in North Korea,3.7M,"Informative, Courageous"
10:58,Michael Norton,How to buy happiness,3.7M,"Inspiring, Informative"
 9:12,Rives,The  4 a.m. mystery,3.6M,"Funny, Ingenious"
19:07,Bunker Roy,Learning from a barefoot movement,3.6M,"Inspiring, Fascinating"
15:18,Sue Klebold,My son was a Columbine shooter. This is my story,3.6M,"Courageous, Inspiring"
23:06,Sam Harris,Science can answer moral questions,3.6M,"Persuasive, Inspiring"
 3:17,Stacey Kramer,The best gift I ever survived,3.6M,"Inspiring, Courageous"
18:02,J.J. Abrams,The mystery box,3.6M,"Funny, Inspiring"
10:17,Elora Hardy,"Magical houses, made of bamboo",3.6M,"Beautiful, Inspiring"
21:47,Brian Greene,Is our universe the only universe?,3.6M,"Fascinating, Informative"
 9:58,Aimee Mullins,My 12 pairs of legs,3.6M,"Inspiring, Beautiful"
 7:55,Chris Anderson,TED's secret to great public speaking,3.6M,"Informative, Inspiring"
15:08,Adam Galinsky,How to speak up for yourself,3.6M,"Inspiring, Informative"
 6:49,Dan Gilbert,The psychology of your future self,3.5M,"Informative, Fascinating"
17:36,Elizabeth Loftus,How reliable is your memory?,3.5M,"Informative, Fascinating"
13:57,Susan Colantuono,The career advice you probably didn’t get,3.5M,"Informative, Inspiring"
18:10,John Green,The nerd's guide to learning everything online,3.5M,"Inspiring, Informative"
18:44,Shonda Rhimes,My year of saying yes to everything,3.5M,"Inspiring, Beautiful"
14:34,Eric Whitacre,"A virtual choir 2,000 voices strong",3.5M,"Beautiful, Inspiring"
 6:16,Lisa Bu,How books can open your mind,3.4M,"Inspiring, Beautiful"
 6:14,Drew Dudley,Everyday leadership,3.4M,"Inspiring, Funny"
20:45,Barry Schwartz,Our loss of wisdom,3.4M,"Inspiring, Persuasive"
 5:16,Julia Sweeney,"It's time for ""The Talk""",3.4M,"Funny, Ingenious"
 7:01,Nicole Paris and Ed Cage,A beatboxing lesson from a father-daughter duo,3.4M,"Funny, Fascinating"
14:52,Elyn Saks,A tale of mental illness — from the inside,3.4M,"Courageous, Inspiring"
17:17,Jim Holt,Why does the universe exist?,3.4M,"Fascinating, Funny"
16:50,Mark Ronson,How sampling transformed music,3.4M,"Beautiful, Fascinating"
10:31,Regina Hartley,Why the best hire might not have the perfect resume,3.4M,"Inspiring, Persuasive"
22:45,Aubrey de Grey,A roadmap to end aging,3.4M,"Persuasive, Fascinating"
25:00,Melinda Gates and Bill Gates,Why giving away our wealth has been the most satisfying thing we've done,3.3M,"Inspiring, Informative"
11:37,Julia Galef,Why you think you're right — even if you're wrong,3.3M,"Inspiring, Informative"
 3:57,Terry Moore,Why is 'x' the unknown?,3.3M,"Informative, Funny"
 4:31,Joe Smith,How to use a paper towel,3.3M,"Funny, Informative"
 8:16,Isabel Allende,How to live passionately—no matter your age,3.3M,"Inspiring, Beautiful"
12:56,Margaret Heffernan,Dare to disagree,3.3M,"Inspiring, Persuasive"
19:39,Dan Buettner,How to live to be 100+,3.3M,"Informative, Inspiring"
18:57,Hans Rosling,New insights on poverty,3.3M,"Inspiring, Informative"
 3:04,Bobby McFerrin,Watch me play ... the audience!,3.3M,"Fascinating, Funny"
14:08,Emily Balcetis,Why some people find exercise harder than others,3.3M,"Informative, Inspiring"
12:01,Yves Morieux,"As work gets more complex, 6 rules to simplify",3.3M,"Inspiring, Informative"
13:53,Mandy Len Catron,Falling in love is the easy part,3.3M,"Beautiful, Inspiring"
16:35,Paul Piff,Does money make you mean?,3.3M,"Informative, Inspiring"
18:40,James Flynn,Why our IQ levels are higher than our grandparents',3.3M,"Informative, Fascinating"
 3:32,Taylor Wilson,"Yup, I built a nuclear fusion reactor",3.2M,"Inspiring, Ingenious"
 6:10,ShaoLan Hsueh,Learn to read Chinese ... with ease!,3.2M,"Informative, Ingenious"
21:02,Rick Warren,A life of purpose,3.2M,"Inspiring, Persuasive"
15:23,Maurice Conti,The incredible inventions of intuitive AI,3.2M,"Fascinating, Inspiring"
15:32,Tim Harford,How frustration can make us more creative,3.2M,"Inspiring, Informative"
 4:04,Kamal Meattle,How to grow fresh air,3.2M,"Informative, Inspiring"
11:31,Wanis Kabbaj,What a driverless world could look like,3.2M,"Inspiring, Fascinating"
13:46,Tabetha Boyajian,The most mysterious star in the universe,3.2M,"Fascinating, Informative"
16:17,Al Gore,Averting the climate crisis,3.2M,"Funny, Informative"
18:16,David R. Dow,Lessons from death row inmates,3.2M,"Persuasive, Inspiring"
 9:59,Geena Rocero,Why I must come out,3.2M,"Courageous, Beautiful"
24:08,Sheena Iyengar,The art of choosing,3.2M,"Informative, Fascinating"
16:31,Nick Bostrom,What happens when our computers get smarter than we are?,3.1M,"Informative, Fascinating"
14:59,Brian Cox,CERN's supercollider,3.1M,"Fascinating, Informative"
14:27,Sam Harris,Can we build AI without losing control over it?,3.1M,"Informative, Fascinating"
13:45,Pilobolus,"A dance of ""Symbiosis""",3.1M,"Beautiful, Fascinating"
11:35,Raffaello D'Andrea,Meet the dazzling flying machines of the future,3.1M,"Fascinating, Informative"
11:00,Kevin Breel,Confessions of a depressed comic,3.1M,"Courageous, Inspiring"
14:16,Julie Lythcott-Haims,How to raise successful kids — without over-parenting,3.1M,"Inspiring, Persuasive"
14:01,Pico Iyer,Where is home?,3.1M,"Inspiring, Beautiful"
10:45,Ron Finley,A guerilla gardener in South Central LA,3.1M,"Inspiring, Persuasive"
11:24,Frank Warren,Half a million secrets,3.1M,"Beautiful, Inspiring"
10:04,Hans Rosling,"Global population growth, box by box",3M,"Informative, Persuasive"
18:29,Alison Gopnik,What do babies think?,3M,"Fascinating, Informative"
17:40,Stefan Sagmeister,The power of time off,3M,"Inspiring, Fascinating"
20:51,Itay Talgam,Lead like the great conductors,3M,"Inspiring, Beautiful"
18:05,Marc Kushner,Why the buildings of the future will be shaped by ... you,3M,"Inspiring, Fascinating"
16:25,Tim Ferriss,"Smash fear, learn anything",3M,"Inspiring, Informative"
 2:42,Derek Sivers,"Weird, or just different?",3M,"Funny, Informative"
 3:49,Colin Robertson,A TED speaker's worst nightmare,3M,"Funny, Ingenious"
22:31,Sugata Mitra,Build a School in the Cloud,3M,"Inspiring, Fascinating"
18:50,Juan Enriquez,The next species of human,2.9M,"Fascinating, Informative"
21:15,Steven Levitt,The freakonomics of crack dealing,2.9M,"Informative, Funny"
21:56,Richard Dawkins,Why the universe seems so strange,2.9M,"Fascinating, Inspiring"
17:04,Sophie Scott,Why we laugh,2.9M,"Funny, Informative"
17:38,Guy Hoffman,"Robots with ""soul""",2.9M,"Fascinating, Ingenious"
16:39,Rory Sutherland,Life lessons from an ad man,2.9M,"Funny, Fascinating"
17:52,His Holiness Pope Francis,Why the only future worth building includes everyone,2.9M,"Inspiring, Beautiful"
12:41,Ji-Hae Park,"The violin, and my dark night of the soul",2.9M,"Beautiful, Inspiring"
17:09,Ernesto Sirolli,Want to help someone? Shut up and listen!,2.9M,"Inspiring, Persuasive"
16:51,Rebecca Saxe,How we read each other's minds,2.9M,"Fascinating, Informative"
19:16,Andrew Stanton,The clues to a great story,2.9M,"Inspiring, Fascinating"
17:33,Neil Pasricha,The 3 A's of awesome,2.9M,"Inspiring, Beautiful"
14:57,Bettina Warburg,How the blockchain will radically transform the economy,2.9M,"Informative, Inspiring"
18:42,Jonathan Haidt,The moral roots of liberals and conservatives,2.9M,"Informative, Persuasive"
 3:28,Nilofer Merchant,Got a meeting? Take a walk,2.8M,"Inspiring, Informative"
18:49,Don Tapscott,How the blockchain is changing money and business,2.8M,"Informative, Fascinating"
22:01,Wade Davis,Dreams from endangered cultures,2.8M,"Inspiring, Fascinating"
17:39,Chip Conley,Measuring what makes life worthwhile,2.8M,"Inspiring, Persuasive"
17:08,Yuval Noah Harari,What explains the rise of humans?,2.8M,"Fascinating, Informative"
16:48,The LXD,"In the Internet age, dance evolves ...",2.8M,"Beautiful, Inspiring"
21:48,Dan Dennett,The illusion of consciousness,2.8M,"Informative, Fascinating"
16:23,Dan Ariely,Our buggy moral code,2.8M,"Fascinating, Informative"
10:16,Matt Killingsworth,Want to be happier? Stay in the moment,2.8M,"Informative, Fascinating"
 9:29,Adam Alter,Why our screens make us less happy,2.8M,"Inspiring, Informative"
 5:58,Joachim de Posada,Don't eat the marshmallow!,2.8M,"Funny, Fascinating"
17:24,Anthony Atala,Printing a human kidney,2.8M,"Fascinating, Inspiring"
17:11,Jon Ronson,When online shaming goes too far,2.8M,"Informative, Fascinating"
12:04,Charlie Todd,The shared experience of absurdity,2.8M,"Funny, Inspiring"
13:56,Lisa Genova,What you can do to prevent Alzheimer's,2.8M,"Informative, Inspiring"
17:19,James Randi,"Homeopathy, quackery and fraud",2.7M,"Funny, Persuasive"
15:37,Pico Iyer,The art of stillness,2.7M,"Inspiring, Beautiful"
24:41,Sirena Huang,An 11-year-old's magical violin,2.7M,"Beautiful, Inspiring"
16:16,Dalia Mogahed,What it's like to be Muslim in America,2.7M,"Inspiring, Courageous"
18:18,iO Tillett Wright,Fifty shades of gay,2.7M,"Inspiring, Beautiful"
 9:29,Randall Munroe,"Comics that ask ""what if?""",2.7M,"Funny, Informative"
11:52,Kio Stark,Why you should talk to strangers,2.7M,"Inspiring, Beautiful"
 6:29,Ramsey Musallam,3 rules to spark learning,2.7M,"Inspiring, Informative"
21:42,Ricardo Semler,How to run a company with (almost) no rules,2.7M,"Inspiring, Fascinating"
12:04,Danielle Feinberg,The magic ingredient that brings Pixar movies to life,2.7M,"Beautiful, Inspiring"
18:19,Suzanne Simard,How trees talk to each other,2.7M,"Fascinating, Informative"
14:55,Will Potter,The secret US prisons you've never heard of before,2.7M,"Courageous, Informative"
11:46,Isaac Lidsky,What reality are you creating for yourself?,2.7M,"Inspiring, Courageous"
10:45,Joseph DeSimone,What if 3D printing was 100x faster?,2.7M,"Informative, Ingenious"
14:13,Kevin Briggs,The bridge between suicide and life,2.7M,"Inspiring, Courageous"
15:45,Juan Enriquez,What will humans look like in 100 years?,2.7M,"Fascinating, Informative"
21:30,Linus Torvalds,The mind behind Linux,2.7M,"Inspiring, Informative"
 7:04,Alexa Meade,Your body is my canvas,2.7M,"Beautiful, Fascinating"
 9:06,Hetain Patel and Yuyu Rau,Who am I? Think again,2.7M,"Funny, Inspiring"
17:56,David McCandless,The beauty of data visualization,2.7M,"Informative, Fascinating"
20:16,Bill Gates,"Mosquitos, malaria and education",2.7M,"Inspiring, Informative"
10:22,Morgana Bailey,The danger of hiding who you are,2.7M,"Courageous, Inspiring"
10:17,Patricia Kuhl,The linguistic genius of babies,2.7M,"Fascinating, Informative"
24:09,JR,My wish: Use art to turn the world inside out,2.6M,"Inspiring, Beautiful"
24:45,Dan Dennett,Let's teach religion — all religion — in schools,2.6M,"Persuasive, Informative"
17:09,Carolyn Porco,This is Saturn,2.6M,"Fascinating, Beautiful"
 8:02,Barry Schwartz,The way we think about work is broken,2.6M,"Inspiring, Informative"
 9:22,Ash Beckham,We're all hiding something. Let's find the courage to open up,2.6M,"Inspiring, Courageous"
19:21,Lisa Kristine,Photos that bear witness to modern slavery,2.6M,"Courageous, Inspiring"
10:49,Sal Khan,Let's teach for mastery — not test scores,2.6M,"Inspiring, Informative"
 9:16,Stella Young,"I'm not your inspiration, thank you very much",2.6M,"Funny, Informative"
11:03,"Curtis ""Wall Street"" Carroll",How I learned to read — and trade stocks — in prison,2.6M,"Inspiring, Courageous"
 8:04,Matt Mills and Tamara Roukaerts,Image recognition that triggers augmented reality,2.6M,"Fascinating, Ingenious"
 5:11,Rob Reid,The $8 billion iPod,2.6M,"Funny, Informative"
16:54,Richard Wilkinson,How economic inequality harms societies,2.6M,"Informative, Persuasive"
22:52,Amy Tan,Where does creativity hide?,2.6M,"Inspiring, Funny"
 9:01,Tom Wujec,"Got a wicked problem? First, tell me how you make toast",2.6M,"Informative, Inspiring"
19:05,Alex Kipman,A futuristic vision of the age of holograms,2.6M,"Fascinating, Inspiring"
17:13,Sugata Mitra,The child-driven education,2.6M,"Inspiring, Fascinating"
17:22,Alexander Betts,Why Brexit happened — and what to do next,2.6M,"Informative, Inspiring"
 9:35,Neil Harbisson,I listen to color,2.6M,"Fascinating, Inspiring"
12:32,Hamish Jolly,A shark-deterrent wetsuit (and it's not what you think),2.6M,"Informative, Ingenious"
19:51,Yanis Varoufakis,Capitalism will eat democracy — unless we speak up,2.4M,"Informative, Inspiring"
10:58,Allan Adams,What the discovery of gravitational waves means,2.4M,"Fascinating, Informative"
 7:31,Adam Savage,How simple ideas lead to scientific discoveries,2.4M,"Inspiring, Informative"
