speakers,titles,views,hashtags
Pattie Maes and Pranav Mistry,Meet the SixthSense interaction,9.8M,"Fascinating, Ingenious"
Reggie Watts,Beats that defy boxes,9.8M,"Funny, Ingenious"
Benjamin Zander,The transformative power of classical music,9.7M,"Inspiring, Beautiful"
Helen Fisher,"Why we love, why we cheat",9.6M,"Informative, Fascinating"
Maz Jobrani,"A Saudi, an Indian and an Iranian walk into a Qatari bar ...",9.5M,"Funny, Inspiring"
Matt Cutts,Try something new for 30 days,9.4M,"Inspiring, Persuasive"
Maysoon Zayid,I got 99 problems ... palsy is just one,9.3M,"Inspiring, Funny"
Amanda Palmer,The art of asking,9.3M,"Inspiring, Beautiful"
Meg Jay,Why 30 is not the new 20,9.2M,"Inspiring, Persuasive"
Esther Perel,Rethinking infidelity ... a talk for anyone who has ever loved,9.2M,"Informative, Fascinating"
Judson Brewer,A simple way to break a bad habit,9.2M,"Informative, Inspiring"
Elon Musk,The future we're building — and boring,9.2M,"Fascinating, Inspiring"
Stephen Hawking,Questioning the universe,8.9M,"Fascinating, Inspiring"
Steve Jobs,How to live before you die,8.9M,"Inspiring, Courageous"
Brené Brown,Listening to shame,8.8M,"Inspiring, Courageous"
BLACK,My journey to yo-yo mastery,8.8M,"Beautiful, Inspiring"
Johann Hari,Everything you think you know about addiction is wrong,8.7M,"Inspiring, Informative"
Andy Puddicombe,All it takes is 10 mindful minutes,8.6M,"Inspiring, Informative"
Arthur Benjamin,"A performance of ""Mathemagic""",8.5M,"Fascinating, Funny"
James Veitch,The agony of trying to unsubscribe,8.5M,"Funny, Ingenious"
Hugh Herr,"The new bionics that let us run, climb and dance",8.1M,"Inspiring, Beautiful"
David Christian,The history of our world in 18 minutes,8.1M,"Fascinating, Informative"
Rita F. Pierson,Every kid needs a champion,8M,"Inspiring, Beautiful"
Yves Rossy,Fly with the Jetman,8M,"Fascinating, Courageous"
Jamie Oliver,Teach every child about food,7.9M,"Inspiring, Persuasive"
Andrew Solomon,"Depression, the secret we share",7.9M,"Inspiring, Courageous"
Sheryl Sandberg,Why we have too few women leaders,7.9M,"Inspiring, Persuasive"
Simon Sinek,Why good leaders make you feel safe,7.7M,"Inspiring, Informative"
Ken Robinson,Bring on the learning revolution!,7.6M,"Inspiring, Funny"
Matthieu Ricard,The habits of happiness,7.6M,"Inspiring, Beautiful"
Louie Schwartzberg,Hidden miracles of the natural world,7.5M,"Fascinating, Beautiful"
Adam Grant,The surprising habits of original thinkers,7.4M,"Inspiring, Informative"
Carol Dweck,The power of believing that you can improve,7.3M,"Inspiring, Informative"
Thomas Suarez,A 12-year-old app developer,7.3M,"Inspiring, Funny"
Malcolm Gladwell,"Choice, happiness and spaghetti sauce",7.2M,"Fascinating, Informative"
Ken Robinson,How to escape education's death valley,7M,"Inspiring, Funny"
Derek Sivers,How to start a movement,6.9M,"Inspiring, Funny"
Kang Lee,Can you really tell if a kid is lying?,6.8M,"Informative, Fascinating"
BJ Miller,What really matters at the end of life,6.8M,"Inspiring, Beautiful"
Ric Elias,3 things I learned while my plane crashed,6.8M,"Inspiring, Beautiful"
Russell Foster,Why do we sleep?,6.7M,"Informative, Fascinating"
Amy Webb,How I hacked online dating,6.6M,"Funny, Ingenious"
Terry Moore,How to tie your shoes,6.4M,"Funny, Informative"
Jane McGonigal,The game that can give you 10 extra years of life,6.3M,"Inspiring, Persuasive"
Markus Fischer,A robot that flies like a bird,6.3M,"Ingenious, Fascinating"
Ze Frank,Nerdcore comedy,6.3M,"Funny, Ingenious"
David Steindl-Rast,Want to be happy? Be grateful,6.2M,"Inspiring, Beautiful"
Alexander Tsiaras,Conception to birth — visualized,6.2M,"Beautiful, Fascinating"
Alain de Botton,"A kinder, gentler philosophy of success",6.1M,"Inspiring, Persuasive"
Larry Smith,Why you will fail to have a great career,6.1M,"Inspiring, Funny"
Philip Zimbardo,The psychology of evil,6M,"Inspiring, Fascinating"
Ruth Chang,How to make hard choices,6M,"Inspiring, Informative"
Shah Rukh Khan,"Thoughts on humanity, fame and love",5.9M,"Inspiring, Beautiful"
Julian Treasure,5 ways to listen better,5.9M,"Inspiring, Informative"
Laura Vanderkam,How to gain control of your free time,5.7M,"Inspiring, Informative"
Seth Godin,How to get your ideas to spread,5.7M,"Inspiring, Informative"
Shane Koyczan,To This Day ... for the bullied and beautiful,5.7M,"Inspiring, Beautiful"
Sleepy Man Banjo Boys,Bluegrass virtuosity from ... New Jersey?,5.6M,"Fascinating, Beautiful"
Guy Winch,Why we all need to practice emotional first aid,5.6M,"Inspiring, Informative"
Dan Ariely,What makes us feel good about our work?,5.5M,"Informative, Inspiring"
Johnny Lee,Free or cheap Wii Remote hacks,5.5M,"Ingenious, Fascinating"
Michael Shermer,Why people believe weird things,5.5M,"Funny, Persuasive"
Marco Tempest,The magic of truth and lies (and iPods),5.4M,"Fascinating, Beautiful"
Greg Gage,How to control someone else's arm with your brain,5.4M,"Fascinating, Informative"
Megan Phelps-Roper,I grew up in the Westboro Baptist Church. Here's why I left,5.4M,"Inspiring, Courageous"
Daphne Bavelier,Your brain on video games,5.3M,"Informative, Fascinating"
Sandrine Thuret,You can grow new brain cells. Here's how,5.3M,"Informative, Fascinating"
Shai Reshef,An ultra-low-cost college degree,5.2M,"Inspiring, Informative"
Dan Ariely,Are we in control of our own decisions?,5.2M,"Fascinating, Informative"
May El-Khalil ,Making peace is a marathon,5.2M,"Inspiring, Courageous"
Helen Fisher,The brain in love,5.1M,"Informative, Fascinating"
John Wooden,The difference between winning and succeeding,5.1M,"Inspiring, Beautiful"
Scott Dinsmore,How to find work you love,5.1M,"Inspiring, Persuasive"
Beau Lotto,Optical illusions show how we see,5.1M,"Fascinating, Informative"
Chris Hadfield,What I learned from going blind in space,5.1M,"Inspiring, Fascinating"
Elon Musk,"The mind behind Tesla, SpaceX, SolarCity ...",5M,"Inspiring, Fascinating"
Emilie Wapnick,Why some of us don't have one true calling,5M,"Inspiring, Fascinating"
Jason Fried,Why work doesn't happen at work,5M,"Inspiring, Persuasive"
Andrew Solomon,How the worst moments in our lives make us who we are,5M,"Inspiring, Beautiful"
Candy Chang,Before I die I want to ...,5M,"Inspiring, Beautiful"
Derek Sivers,Keep your goals to yourself,5M,"Informative, Inspiring"
Adora Svitak,What adults can learn from kids,4.9M,"Inspiring, Courageous"
Simon Anholt,Which country does the most good for the world?,4.9M,"Inspiring, Beautiful"
Joshua Foer,Feats of memory anyone can do,4.9M,"Inspiring, Fascinating"
Brian Little,"Who are you, really? The puzzle of personality",4.9M,"Funny, Informative"
David Pogue,10 top time-saving tech tips,4.9M,"Informative, Funny"
Bel Pesce,5 ways to kill your dreams,4.8M,"Inspiring, Beautiful"
Maz Jobrani,Did you hear the one about the Iranian-American?,4.8M,"Funny, Inspiring"
Diana Nyad,"Never, ever give up",4.8M,"Inspiring, Courageous"
Bill Gross,The single biggest reason why startups succeed,4.8M,"Informative, Inspiring"
Arthur Benjamin,The magic of Fibonacci numbers,4.8M,"Fascinating, Informative"
Blaise Agüera y Arcas,How PhotoSynth can connect the world's images,4.8M,"Ingenious, Fascinating"
Roman Mars,Why city flags may be the worst-designed thing you've never noticed,4.8M,"Funny, Informative"
Zak Ebrahim,I am the son of a terrorist. Here's how I chose peace.,4.7M,"Inspiring, Courageous"
Ron Gutman,The hidden power of smiling,4.7M,"Inspiring, Informative"
"Adam Driver, Jesse J Perez and Matt Johnson",My journey from Marine to actor,4.7M,"Beautiful, Inspiring"
Sal Khan,Let's use video to reinvent education,4.7M,"Inspiring, Ingenious"
Jane McGonigal,Gaming can make a better world,4.7M,"Inspiring, Fascinating"
Bryan Stevenson,We need to talk about an injustice,4.6M,"Inspiring, Courageous"
Mike Rowe,Learning from dirty jobs,4.6M,"Inspiring, Funny"
David Kelley,How to build your creative confidence,4.6M,"Inspiring, Beautiful"
Jack Andraka,A promising test for pancreatic cancer ... from a teenager,4.6M,"Inspiring, Ingenious"
Jeff Han,The radical promise of the multi-touch interface,4.5M,"Ingenious, Fascinating"
Temple Grandin,The world needs all kinds of minds,4.5M,"Inspiring, Informative"
Jenna McCarthy,What you don't know about marriage,4.5M,"Funny, Informative"
Bill Gates,Innovating to zero!,4.5M,"Informative, Inspiring"
Oliver Sacks,What hallucination reveals about our minds,4.5M,"Fascinating, Informative"
Hannah Fry,The mathematics of love,4.5M,"Funny, Informative"
Gever Tulley,5 dangerous things you should let your kids do,4.5M,"Persuasive, Funny"
Arianna Huffington,How to succeed? Get more sleep,4.5M,"Funny, Inspiring"
Richard Dawkins,Militant atheism,4.4M,"Courageous, Inspiring"
Allan Savory,How to fight desertification and reverse climate change,4.4M,"Inspiring, Persuasive"
Takaharu Tezuka,The best kindergarten you’ve ever seen,4.4M,"Inspiring, Funny"
Martin Seligman,The new era of positive psychology,4.4M,"Inspiring, Informative"
Tim Ferriss,Why you should define your fears instead of your goals,4.4M,"Inspiring, Informative"
Jay Walker,The world's English mania,4.3M,"Informative, Fascinating"
Dan Pallotta,The way we think about charity is dead wrong,4.3M,"Persuasive, Inspiring"
Colin Stokes,How movies teach manhood,4.3M,"Inspiring, Persuasive"
Vijay Kumar,Robots that fly ... and cooperate,4.3M,"Fascinating, Ingenious"
Sherry Turkle,"Connected, but alone?",4.3M,"Inspiring, Persuasive"
Brian Greene,Making sense of string theory,4.3M,"Fascinating, Informative"
Lennart Green,Close-up card magic with a twist,4.3M,"Funny, Fascinating"
Thordis Elva and Tom Stranger,Our story of rape and reconciliation,4.3M,"Courageous, Inspiring"
Mihaly Csikszentmihalyi,"Flow, the secret to happiness",4.3M,"Inspiring, Informative"
Anil Seth,Your brain hallucinates your conscious reality,4.3M,"Fascinating, Informative"
Evelyn Glennie,How to truly listen,4.3M,"Inspiring, Beautiful"
Paul Stamets,6 ways mushrooms can save the world,4.3M,"Fascinating, Ingenious"
Andrew Solomon,"Love, no matter what",4.3M,"Inspiring, Beautiful"
Tom Wujec,"Build a tower, build a team",4.2M,"Inspiring, Informative"
William Li,Can we eat to starve cancer?,4.2M,"Informative, Persuasive"
Sandra Aamodt,Why dieting doesn't usually work,4.2M,"Informative, Inspiring"
Eleanor Longden,The voices in my head,4.2M,"Courageous, Inspiring"
Edward Snowden,Here's how we take back the Internet,4.2M,"Courageous, Informative"
Eli Pariser,"Beware online ""filter bubbles""",4.2M,"Informative, Persuasive"
Ze Frank,Are you human?,4.1M,"Funny, Beautiful"
Ramesh Raskar,Imaging at a trillion frames per second,4.1M,"Fascinating, Ingenious"
Leslie Morgan Steiner,Why domestic violence victims don't leave,4.1M,"Courageous, Inspiring"
Adam Grant,Are you a giver or a taker?,4.1M,"Inspiring, Informative"
Clint Smith,The danger of silence,4.1M,"Inspiring, Beautiful"
Vilayanur Ramachandran,3 clues to understanding your brain,4.1M,"Fascinating, Informative"
Kathryn Schulz,On being wrong,4.1M,"Inspiring, Persuasive"
Steven Johnson,Where good ideas come from,4M,"Inspiring, Fascinating"
Jeff Iliff,One more reason to get a good night's sleep,4M,"Informative, Fascinating"
Jamila Lyiscott,3 ways to speak English,4M,"Inspiring, Beautiful"
Theo Jansen,"My creations, a new form of life",4M,"Ingenious, Fascinating"
Mark Applebaum,The mad scientist of music,4M,"Funny, Inspiring"
Genevieve von Petzinger,Why are these 32 symbols found in ancient caves all over Europe?,4M,"Informative, Fascinating"
Diane Kelly,What we didn't know about penis anatomy,4M,"Informative, Fascinating"
Daniel Kahneman,The riddle of experience vs. memory,4M,"Fascinating, Informative"
Mark Bittman,What's wrong with what we eat,4M,"Informative, Persuasive"
Yann Dall'Aglio,Love — you're doing it wrong,3.9M,"Inspiring, Funny"
Malcolm Gladwell,The unheard story of David and Goliath,3.9M,"Fascinating, Informative"
Nigel Marsh,How to make work-life balance work,3.9M,"Inspiring, Persuasive"
Jia Jiang,What I learned from 100 days of rejection,3.9M,"Inspiring, Funny"
Roselinde Torres,What it takes to be a great leader,3.9M,"Inspiring, Informative"
Dan Gilbert,Why we make bad decisions,3.9M,"Informative, Fascinating"
Elizabeth Gilbert,"Success, failure and the drive to keep creating",3.9M,"Inspiring, Beautiful"
Edith Widder,How we found the giant squid,3.9M,"Fascinating, Informative"
Graham Hill,"Less stuff, more happiness",3.9M,"Inspiring, Persuasive"
Hans Rosling and Ola Rosling,How not to be ignorant about the world,3.9M,"Informative, Funny"
Scott Rickard,The beautiful math behind the world's ugliest music,3.8M,"Fascinating, Informative"
Preston Reed and Usman Riaz,A young guitarist meets his hero,3.8M,"Beautiful, Inspiring"
Julia Sweeney,Letting go of God,3.8M,"Funny, Courageous"
Isabel Allende,Tales of passion,3.8M,"Inspiring, Courageous"
Richard St. John,Success is a continuous journey,3.8M,"Inspiring, Persuasive"
Meaghan Ramsey,Why thinking you're ugly is bad for you,3.8M,"Inspiring, Beautiful"
Louie Schwartzberg,Nature. Beauty. Gratitude.,3.7M,"Beautiful, Inspiring"
Erik Johansson,Impossible photography,3.7M,"Fascinating, Inspiring"
Frans de Waal,Moral behavior in animals,3.7M,"Fascinating, Informative"
Kevin Slavin,How algorithms shape our world,3.7M,"Fascinating, Informative"
Jon Bergmann,Just how small is an atom?,3.7M,"Informative, Fascinating"
Michael Pritchard,How to make filthy water drinkable,3.7M,"Ingenious, Inspiring"
Suki Kim,This is what it's like to go undercover in North Korea,3.7M,"Informative, Courageous"
Michael Norton,How to buy happiness,3.6M,"Inspiring, Informative"
Bunker Roy,Learning from a barefoot movement,3.6M,"Inspiring, Fascinating"
David Epstein,"Are athletes really getting faster, better, stronger?",3.6M,"Informative, Fascinating"
Rives,The  4 a.m. mystery,3.6M,"Funny, Ingenious"
Nadine Burke Harris,How childhood trauma affects health across a lifetime,3.6M,"Informative, Inspiring"
Emily Esfahani Smith,There's more to life than being happy,3.6M,"Inspiring, Beautiful"
J.J. Abrams,The mystery box,3.6M,"Funny, Inspiring"
Sam Harris,Science can answer moral questions,3.6M,"Persuasive, Inspiring"
Stacey Kramer,The best gift I ever survived,3.6M,"Inspiring, Courageous"
Reshma Saujani,"Teach girls bravery, not perfection",3.5M,"Inspiring, Courageous"
Aimee Mullins,My 12 pairs of legs,3.5M,"Inspiring, Beautiful"
Brian Greene,Is our universe the only universe?,3.5M,"Fascinating, Informative"
Elora Hardy,"Magical houses, made of bamboo",3.5M,"Beautiful, Inspiring"
Dan Gilbert,The psychology of your future self,3.5M,"Informative, Fascinating"
Sue Klebold,My son was a Columbine shooter. This is my story,3.5M,"Courageous, Inspiring"
Adam Galinsky,How to speak up for yourself,3.5M,"Inspiring, Informative"
Elizabeth Loftus,How reliable is your memory?,3.5M,"Informative, Fascinating"
Susan Colantuono,The career advice you probably didn’t get,3.5M,"Informative, Inspiring"
Chris Anderson,TED's secret to great public speaking,3.5M,"Informative, Inspiring"
John Green,The nerd's guide to learning everything online,3.5M,"Inspiring, Informative"
Eric Whitacre,"A virtual choir 2,000 voices strong",3.5M,"Beautiful, Inspiring"
Shonda Rhimes,My year of saying yes to everything,3.5M,"Inspiring, Beautiful"
Barry Schwartz,Our loss of wisdom,3.4M,"Inspiring, Persuasive"
Julia Sweeney,"It's time for ""The Talk""",3.4M,"Funny, Ingenious"
Lisa Bu,How books can open your mind,3.4M,"Inspiring, Beautiful"
Drew Dudley,Everyday leadership,3.4M,"Inspiring, Funny"
Elyn Saks,A tale of mental illness — from the inside,3.4M,"Courageous, Inspiring"
Nicole Paris and Ed Cage,A beatboxing lesson from a father-daughter duo,3.4M,"Funny, Fascinating"
Aubrey de Grey,A roadmap to end aging,3.3M,"Persuasive, Fascinating"
Mark Ronson,How sampling transformed music,3.3M,"Beautiful, Fascinating"
Regina Hartley,Why the best hire might not have the perfect resume,3.3M,"Inspiring, Persuasive"
Julia Galef,Why you think you're right — even if you're wrong,3.3M,"Inspiring, Informative"
Jim Holt,Why does the universe exist?,3.3M,"Fascinating, Funny"
Melinda Gates and Bill Gates,Why giving away our wealth has been the most satisfying thing we've done,3.3M,"Inspiring, Informative"
Terry Moore,Why is 'x' the unknown?,3.3M,"Informative, Funny"
Joe Smith,How to use a paper towel,3.3M,"Funny, Informative"
Isabel Allende,How to live passionately—no matter your age,3.3M,"Inspiring, Beautiful"
Margaret Heffernan,Dare to disagree,3.3M,"Inspiring, Persuasive"
Bobby McFerrin,Watch me play ... the audience!,3.3M,"Fascinating, Funny"
Hans Rosling,New insights on poverty,3.3M,"Inspiring, Informative"
Dan Buettner,How to live to be 100+,3.3M,"Informative, Inspiring"
Yves Morieux,"As work gets more complex, 6 rules to simplify",3.3M,"Inspiring, Informative"
Paul Piff,Does money make you mean?,3.3M,"Informative, Inspiring"
Mandy Len Catron,Falling in love is the easy part,3.3M,"Beautiful, Inspiring"
Emily Balcetis,Why some people find exercise harder than others,3.2M,"Informative, Inspiring"
Taylor Wilson,"Yup, I built a nuclear fusion reactor",3.2M,"Inspiring, Ingenious"
James Flynn,Why our IQ levels are higher than our grandparents',3.2M,"Informative, Fascinating"
Maurice Conti,The incredible inventions of intuitive AI,3.2M,"Fascinating, Inspiring"
Rick Warren,A life of purpose,3.2M,"Inspiring, Persuasive"
ShaoLan Hsueh,Learn to read Chinese ... with ease!,3.2M,"Informative, Ingenious"
Kamal Meattle,How to grow fresh air,3.2M,"Informative, Inspiring"
Al Gore,Averting the climate crisis,3.2M,"Funny, Informative"
David R. Dow,Lessons from death row inmates,3.2M,"Persuasive, Inspiring"
Tabetha Boyajian,The most mysterious star in the universe,3.2M,"Fascinating, Informative"
Wanis Kabbaj,What a driverless world could look like,3.2M,"Inspiring, Fascinating"
Tim Harford,How frustration can make us more creative,3.2M,"Inspiring, Informative"
Geena Rocero,Why I must come out,3.2M,"Courageous, Beautiful"
Sheena Iyengar,The art of choosing,3.1M,"Informative, Fascinating"
Brian Cox,CERN's supercollider,3.1M,"Fascinating, Informative"
Nick Bostrom,What happens when our computers get smarter than we are?,3.1M,"Informative, Fascinating"
Sam Harris,Can we build AI without losing control over it?,3.1M,"Informative, Fascinating"
Pilobolus,"A dance of ""Symbiosis""",3.1M,"Beautiful, Fascinating"
Kevin Breel,Confessions of a depressed comic,3.1M,"Courageous, Inspiring"
Raffaello D'Andrea,Meet the dazzling flying machines of the future,3.1M,"Fascinating, Informative"
Pico Iyer,Where is home?,3.1M,"Inspiring, Beautiful"
Frank Warren,Half a million secrets,3.1M,"Beautiful, Inspiring"
Ron Finley,A guerilla gardener in South Central LA,3M,"Inspiring, Persuasive"
Hans Rosling,"Global population growth, box by box",3M,"Informative, Persuasive"
Alison Gopnik,What do babies think?,3M,"Fascinating, Informative"
Stefan Sagmeister,The power of time off,3M,"Inspiring, Fascinating"
Julie Lythcott-Haims,How to raise successful kids — without over-parenting,3M,"Inspiring, Persuasive"
Itay Talgam,Lead like the great conductors,3M,"Inspiring, Beautiful"
Colin Robertson,A TED speaker's worst nightmare,2.9M,"Funny, Ingenious"
Marc Kushner,Why the buildings of the future will be shaped by ... you,2.9M,"Inspiring, Fascinating"
Sugata Mitra,Build a School in the Cloud,2.9M,"Inspiring, Fascinating"
Tim Ferriss,"Smash fear, learn anything",2.9M,"Inspiring, Informative"
Juan Enriquez,The next species of human,2.9M,"Fascinating, Informative"
Derek Sivers,"Weird, or just different?",2.9M,"Funny, Informative"
Steven Levitt,The freakonomics of crack dealing,2.9M,"Informative, Funny"
Richard Dawkins,Why the universe seems so strange,2.9M,"Fascinating, Inspiring"
Guy Hoffman,"Robots with ""soul""",2.9M,"Fascinating, Ingenious"
Sophie Scott,Why we laugh,2.9M,"Funny, Informative"
Rory Sutherland,Life lessons from an ad man,2.9M,"Funny, Fascinating"
His Holiness Pope Francis,Why the only future worth building includes everyone,2.9M,"Inspiring, Beautiful"
Ernesto Sirolli,Want to help someone? Shut up and listen!,2.9M,"Inspiring, Persuasive"
Rebecca Saxe,How we read each other's minds,2.9M,"Fascinating, Informative"
Ji-Hae Park,"The violin, and my dark night of the soul",2.9M,"Beautiful, Inspiring"
Neil Pasricha,The 3 A's of awesome,2.9M,"Inspiring, Beautiful"
Andrew Stanton,The clues to a great story,2.9M,"Inspiring, Fascinating"
Jonathan Haidt,The moral roots of liberals and conservatives,2.9M,"Informative, Persuasive"
Nilofer Merchant,Got a meeting? Take a walk,2.8M,"Inspiring, Informative"
Bettina Warburg,How the blockchain will radically transform the economy,2.8M,"Informative, Inspiring"
Chip Conley,Measuring what makes life worthwhile,2.8M,"Inspiring, Persuasive"
Don Tapscott,How the blockchain is changing money and business,2.8M,"Informative, Fascinating"
The LXD,"In the Internet age, dance evolves ...",2.8M,"Beautiful, Inspiring"
Dan Dennett,The illusion of consciousness,2.8M,"Informative, Fascinating"
Matt Killingsworth,Want to be happier? Stay in the moment,2.8M,"Informative, Fascinating"
Dan Ariely,Our buggy moral code,2.8M,"Fascinating, Informative"
Yuval Noah Harari,What explains the rise of humans?,2.8M,"Fascinating, Informative"
Anthony Atala,Printing a human kidney,2.8M,"Fascinating, Inspiring"
Wade Davis,Dreams from endangered cultures,2.8M,"Inspiring, Fascinating"
Jon Ronson,When online shaming goes too far,2.8M,"Informative, Fascinating"
Charlie Todd,The shared experience of absurdity,2.8M,"Funny, Inspiring"
Adam Alter,Why our screens make us less happy,2.7M,"Inspiring, Informative"
Joachim de Posada,Don't eat the marshmallow!,2.7M,"Funny, Fascinating"
Sirena Huang,An 11-year-old's magical violin,2.7M,"Beautiful, Inspiring"
James Randi,"Homeopathy, quackery and fraud",2.7M,"Funny, Persuasive"
Pico Iyer,The art of stillness,2.7M,"Inspiring, Beautiful"
Lisa Genova,What you can do to prevent Alzheimer's,2.7M,"Informative, Inspiring"
iO Tillett Wright,Fifty shades of gay,2.7M,"Inspiring, Beautiful"
Kio Stark,Why you should talk to strangers,2.7M,"Inspiring, Beautiful"
Dalia Mogahed,What it's like to be Muslim in America,2.7M,"Inspiring, Courageous"
Randall Munroe,"Comics that ask ""what if?""",2.7M,"Funny, Informative"
Ramsey Musallam,3 rules to spark learning,2.7M,"Inspiring, Informative"
Danielle Feinberg,The magic ingredient that brings Pixar movies to life,2.7M,"Beautiful, Inspiring"
Ricardo Semler,How to run a company with (almost) no rules,2.7M,"Inspiring, Fascinating"
Joseph DeSimone,What if 3D printing was 100x faster?,2.7M,"Informative, Ingenious"
Juan Enriquez,What will humans look like in 100 years?,2.7M,"Fascinating, Informative"
Alexa Meade,Your body is my canvas,2.7M,"Beautiful, Fascinating"
Hetain Patel and Yuyu Rau,Who am I? Think again,2.7M,"Funny, Inspiring"
Will Potter,The secret US prisons you've never heard of before,2.7M,"Courageous, Informative"
Isaac Lidsky,What reality are you creating for yourself?,2.7M,"Inspiring, Courageous"
Kevin Briggs,The bridge between suicide and life,2.7M,"Inspiring, Courageous"
David McCandless,The beauty of data visualization,2.7M,"Informative, Fascinating"
Bill Gates,"Mosquitos, malaria and education",2.7M,"Inspiring, Informative"
Morgana Bailey,The danger of hiding who you are,2.6M,"Courageous, Inspiring"
Linus Torvalds,The mind behind Linux,2.6M,"Inspiring, Informative"
Suzanne Simard,How trees talk to each other,2.6M,"Fascinating, Informative"
JR,My wish: Use art to turn the world inside out,2.6M,"Inspiring, Beautiful"
Carolyn Porco,This is Saturn,2.6M,"Fascinating, Beautiful"
Patricia Kuhl,The linguistic genius of babies,2.6M,"Fascinating, Informative"
Dan Dennett,Let's teach religion — all religion — in schools,2.6M,"Persuasive, Informative"
Ash Beckham,We're all hiding something. Let's find the courage to open up,2.6M,"Inspiring, Courageous"
Barry Schwartz,The way we think about work is broken,2.6M,"Inspiring, Informative"
Lisa Kristine,Photos that bear witness to modern slavery,2.6M,"Courageous, Inspiring"
Matt Mills and Tamara Roukaerts,Image recognition that triggers augmented reality,2.6M,"Fascinating, Ingenious"
Rob Reid,The $8 billion iPod,2.6M,"Funny, Informative"
Stella Young,"I'm not your inspiration, thank you very much",2.6M,"Funny, Informative"
Richard Wilkinson,How economic inequality harms societies,2.6M,"Informative, Persuasive"
Sal Khan,Let's teach for mastery — not test scores,2.6M,"Inspiring, Informative"
Amy Tan,Where does creativity hide?,2.6M,"Inspiring, Funny"
Tom Wujec,"Got a wicked problem? First, tell me how you make toast",2.6M,"Informative, Inspiring"
Sugata Mitra,The child-driven education,2.6M,"Inspiring, Fascinating"
Alex Kipman,A futuristic vision of the age of holograms,2.6M,"Fascinating, Inspiring"
"Curtis ""Wall Street"" Carroll",How I learned to read — and trade stocks — in prison,2.6M,"Inspiring, Courageous"
Hamish Jolly,A shark-deterrent wetsuit (and it's not what you think),2.5M,"Informative, Ingenious"
Neil Harbisson,I listen to color,2.5M,"Fascinating, Inspiring"
Alexander Betts,Why Brexit happened — and what to do next,2.5M,"Informative, Inspiring"
Sunitha Krishnan,The fight against sex slavery,2.5M,"Courageous, Inspiring"
James B. Glattfelder,Who controls the world?,2.5M,"Informative, Fascinating"
Thandie Newton,"Embracing otherness, embracing myself",2.5M,"Inspiring, Beautiful"
Stanley McChrystal,"Listen, learn ... then lead",2.5M,"Inspiring, Courageous"
